Entry	Length	Entry name	Cross-reference (PDB)
Q06481	763	APLP2_HUMAN	5JBT;5TPT;
Q95241	751	A4_SAISC	
Q60495	770	A4_CAVPO	
P00978	352	AMBP_BOVIN	
P02760	352	AMBP_HUMAN	1BIK;3QKG;4ES7;4U30;6EJ7;6EJ8;6EJ9;6EJA;6EJB;6EJC;6EJD;
Q64240	349	AMBP_RAT	
P04366	337	AMBP_PIG	
P12111	3177	CO6A3_HUMAN	1KNT;1KTH;1KUN;2KNT;
P00982	57	VKTHD_DENAN	
O43291	252	SPIT2_HUMAN	4U32;
P00981	79	VKTHK_DENPO	1DTK;
P10646	304	TFPI1_HUMAN	1ADZ;1IRH;1TFX;4BQD;4DTG;5NMV;
Q7TQN3	571	WFKN2_MOUSE	
P00974	100	BPT1_BOVIN	1AAL;1B0C;1BHC;1BPI;1BPT;1BRB;1BTH;1BTI;1BZ5;1BZX;1CBW;1CO7;1D0D;1EAW;1EJM;1F5R;1F7Z;1FAK;1FAN;1FY8;1G6X;1JV8;1JV9;1K09;1K6U;1LD5;1LD6;1MTN;1NAG;1OA5;1OA6;1P2I;1P2J;1P2K;1P2M;1P2N;1P2O;1P2Q;1PIT;1QLQ;1T7C;1T8L;1T8M;1T8N;1T8O;1TPA;1UUA;1UUB;1YKT;1YLC;1YLD;2FI3;2FI4;2FI5;2FTL;2FTM;2HEX;2IJO;2KAI;2PTC;2R9P;2RA3;2TGP;2TPI;2ZJX;2ZVX;3BTD;3BTE;3BTF;3BTG;3BTH;3BTK;3BTM;3BTQ;3BTT;3BTW;3FP6;3FP7;3FP8;3GYM;3LDI;3LDJ;3LDM;3OTJ;3P92;3P95;3TGI;3TGJ;3TGK;3TPI;3U1J;3WNY;4BNR;4DG4;4PTI;4TPI;4WWY;4WXV;4Y0Y;4Y0Z;4Y10;4Y11;5JB4;5JB5;5JB6;5JB7;5PTI;5XX2;5XX3;5XX4;5XX5;5XX6;5XX7;5XX8;5YVU;6F1F;6PTI;7PTI;8PTI;9PTI;
Q5IS80	770	A4_PANTR	
P79307	770	A4_PIG	
P05067	770	A4_HUMAN	1AAP;1AMB;1AMC;1AML;1BA4;1BA6;1BJB;1BJC;1BRC;1CA0;1HZ3;1IYT;1MWP;1OWT;1QCM;1QWP;1QXC;1QYT;1TAW;1TKN;1UO7;1UO8;1UOA;1UOI;1X11;1Z0Q;1ZE7;1ZE9;1ZJD;2BEG;2BOM;2BP4;2FJZ;2FK1;2FK2;2FK3;2FKL;2FMA;2G47;2IPU;2LFM;2LLM;2LMN;2LMO;2LMP;2LMQ;2LNQ;2LOH;2LP1;2LZ3;2LZ4;2M4J;2M9R;2M9S;2MGT;2MJ1;2MPZ;2MVX;2MXU;2NAO;2OTK;2R0W;2WK3;2Y29;2Y2A;2Y3J;2Y3K;2Y3L;3AYU;3BAE;3BKJ;3DXC;3DXD;3DXE;3GCI;3IFL;3IFN;3IFO;3IFP;3JQ5;3JQL;3JTI;3KTM;3L33;3L81;3MOQ;3MXC;3MXY;3NYJ;3NYL;3OVJ;3OW9;3PZZ;3Q2X;3SV1;3U0T;3UMH;3UMI;3UMK;4HIX;4JFN;4M1C;4MDR;4MVI;4MVK;4MVL;4NGE;4OJF;4ONF;4ONG;4PQD;4PWQ;4XXD;5AEF;5AM8;5AMB;5BUO;5C67;5CSZ;5HOW;5HOX;5HOY;5KK3;5LFY;5LV0;5MY4;5MYO;5MYX;5ONP;5ONQ;5OQV;5TXD;5VOS;5VZY;5W3P;6CO3;6GFI;6IYC;
P08592	770	A4_RAT	1M7E;1NMJ;1OQN;2LI9;
P53601	770	A4_MACFA	
P12023	770	A4_MOUSE	2ROZ;2YSZ;2YT0;2YT1;4YN0;5MYK;
Q02388	2944	CO7A1_HUMAN	
O95925	133	EPPI_HUMAN	
O43278	529	SPIT1_HUMAN	1YC0;2MSX;4ISL;4ISN;4ISO;5EZD;5H7V;
Q868Z9	2898	PPN_DROME	
O76840	2167	PPN1_CAEEL	
Q63870	2944	CO7A1_MOUSE	
O73683	780	A4_TETFL	
O93279	737	A4_TAKRU	
Q07456	349	AMBP_MOUSE	
Q62577	346	AMBP_MERUN	
P36992	355	AMBP_PLEPL	
Q60559	349	AMBP_MESAU	
Q7Z1K3	194	ANIS1_ANISI	
P15943	765	APLP2_RAT	
P84875	165	PCPI_SABMA	4BD9;
